"G magnitude","correction term DR2","correction term EDR3"
3.5,0.0790473286232177,-0.016793753957008
3.51,0.079044857410409,-0.0162969991374303
3.52,0.0790423785142299,-0.0157994836641942
3.53,0.0790398892777487,-0.0153009445010527
3.54,0.0790373870440337,-0.0148011186117585
3.55,0.0790348691561531,-0.0142997429600646
3.56,0.0790323329571749,-0.0137965545097237
3.57,0.0790297757009537,-0.0132912813923088
3.58,0.0790271925894229,-0.0127834485992569
3.59,0.0790245767725959,-0.0122723779818686
3.6,0.0790219213112717,-0.011757382559265
3.61,0.0790187923910801,-0.0112365646132835
3.62,0.0790150845124126,-0.0107097961590375
3.63,0.0790112832082114,-0.0101790448155622
3.64,0.0790078740114183,-0.0096462782018929
3.65,0.0790053425785473,-0.00911347617068014
3.66,0.0790041774082654,-0.00858289994772975
3.67,0.0790048698413925,-0.00805709213200282
3.68,0.0790079113423207,-0.00753860755607575
3.69,0.0790137933754418,-0.00703000105252509
3.7,0.0790230074051479,-0.00653382745392722
3.71,0.0790359810558104,-0.00605192097157604
3.72,0.0790528865917203,-0.00558323333163469
3.73,0.0790738324371479,-0.00512599563898372
3.74,0.0790989295422589,-0.0046786890621373
3.75,0.0791282989608003,-0.00424079502414425
3.76,0.0791620642724144,-0.00381204501168704
3.77,0.0792003490567432,-0.0033921705114481
3.78,0.079243276893429,-0.00298090301010992
3.79,0.079290971362114,-0.00257797399435497
3.8,0.0793435560424404,-0.00218311495086571
3.81,0.0794008531177301,-0.00179607462515797
3.82,0.0794614800104465,-0.00141675241596426
3.83,0.0795237560444252,-0.0010453914523822
3.84,0.0795860013679246,-0.000682316481392463
3.85,0.0796465361292033,-0.00032785224997562
3.86,0.0797036804765197,1.76764948876598e-05
3.87,0.0797557545581323,0.000353945006216765
3.88,0.0798010785222997,0.000680628537031054
3.89,0.0798379725172804,0.00099740234034993
3.9,0.0798647564128018,0.00130396924376941
3.91,0.0798797436723765,0.00160066629014953
3.92,0.0798813577312971,0.00188842914208442
3.93,0.0798684872583036,0.00216807865462595
3.94,0.0798401373001309,0.0024404000872962
3.95,0.0797953129035137,0.00270617869961733
3.96,0.079733019115187,0.00296619975111139
3.97,0.0796522609818853,0.00322124850130054
3.98,0.0795520430606191,0.0034721586924368
3.99,0.0794313586447341,0.00372087916956134
4,0.0792891897639113,0.00397047388050432
4.01,0.0791245179581075,0.00422405525582591
4.02,0.0789366318170821,0.00448394419999057
4.03,0.0787260481298063,0.00474929551308005
4.04,0.0784935907350538,0.00501847246908038
4.05,0.0782400834715985,0.00528983834197762
4.06,0.0779663501782144,0.00556175640575784
4.07,0.0776732132305453,0.00583273478429229
4.08,0.0773614891517141,0.00610186100099309
4.09,0.077031993001714,0.00636836742915759
4.1,0.0766855398405379,0.00663148644208312
4.11,0.0763229447281787,0.00689045041306707
4.12,0.0759450227246294,0.00714449171540671
4.13,0.0755527241806358,0.00739321507013068
4.14,0.0751475406099539,0.00763771458919254
4.15,0.0747311009534307,0.00787924523480953
4.16,0.0743050426972655,0.00811821597932827
4.17,0.0738710054639955,0.00835482429762777
4.18,0.0734306288761579,0.00858926766458704
4.19,0.0729855525562899,0.00882174355508512
4.2,0.0725374161269288,0.00905244944400097
4.21,0.0720878592106118,0.0092815828062136
4.22,0.0716385214298761,0.00950934111660205
4.23,0.0711909608001395,0.0097361171906661
4.24,0.0707464149589312,0.00996248619795532
4.25,0.0703060469426078,0.010188525059928
4.26,0.0698710201059776,0.0104142791712826
4.27,0.0694424978038494,0.0106397939267178
4.28,0.0690216433910314,0.0108651147209322
4.29,0.0686096202223323,0.0110902869486242
4.3,0.0682075916525606,0.0113153560044926
4.31,0.067816721167628,0.0115403543040264
4.32,0.0674381752688179,0.0117650157408975
4.33,0.0670731234727858,0.0119887756869603
4.34,0.0667226052395406,0.0122111058447017
4.35,0.0663871392780928,0.0124316751559749
4.36,0.066067114109703,0.0126502018724749
4.37,0.0657629182556321,0.0128664042458967
4.38,0.0654749402371409,0.0130800005279352
4.39,0.06520356857549,0.0132907089702854
4.4,0.0649491925912983,0.013498168688199
4.41,0.0647122048026167,0.013701702251154
4.42,0.064492998526854,0.0139005530921852
4.43,0.064291967081419,0.0140939646443275
4.44,0.0641091398913829,0.0142813516689679
4.45,0.0639430908124664,0.0144628142409029
4.46,0.0637920298080523,0.0146386237632817
4.47,0.0636541668415236,0.014809051639253
4.48,0.0635277120841638,0.0149743486898102
4.49,0.0634108765388586,0.0151346834073237
4.5,0.0633018714163943,0.0152902037020083
4.51,0.0631989079275572,0.0154410574840789
4.52,0.0631001972831336,0.0155873926637503
4.53,0.0630039506939098,0.0157293571512373
4.54,0.0629083793706722,0.0158670988567547
4.55,0.0628117115540892,0.0160005488045702
4.56,0.0627122434922103,0.0161287815778075
4.57,0.0626082858835653,0.0162509102344552
4.58,0.0624981468472815,0.0163663031933145
4.59,0.0623801343903386,0.0164743399758306
4.6,0.0622525565197159,0.0165744001034485
4.61,0.0621137212423932,0.0166658630976134
4.62,0.0619619365653499,0.0167481084797704
4.63,0.0617955104955657,0.0168205157713647
4.64,0.0616127508778605,0.0168824805476266
4.65,0.0614123675552844,0.0169338224423519
4.66,0.0611946895528087,0.0169749496124241
4.67,0.0609604514611426,0.0170063410900187
4.68,0.060710387870995,0.0170284759073113
4.69,0.0604452333730751,0.0170418330964776
4.7,0.0601657225580918,0.0170468916896931
4.71,0.0598725900167543,0.0170441307191335
4.72,0.0595665703397716,0.0170340292169745
4.73,0.0592483972432095,0.0170171528050763
4.74,0.0589188009445606,0.016994413464039
